Date of fail,Product description,Country of origin,Producer name,Reason for fail,Results,Units,Reference,Category,Test applied,Holding order number
2019-11-04,Frozen whole cooked lobster,Brazil,J3 Industria E Comercio De Pescados Ltda,Salmonella,Detected,/125g,CRU 03/2019,Risk,,
2019-11-04,Dried mud fish,Thailand,"O-Cha Food Pack Co., Ltd (Thailand)",Ciprofloxacin,0.0028,mg/kg,FSC 1.4.2,Surveillance,,
2019-11-05,Caprotto cheese,Italy,Casa Madaio Srl (It 15/061ce),Listeria monocytogenes,Detected,/125g,CHE 07/2018,Risk,,
2019-11-06,Apricot flavoured candy foam,South Africa,Mister Sweet Pty Ltd,Additive E 127 (Erythrosine),Not permitted in this food ,,,Surveillance,,
2019-11-07,Preserved plums,China,"Farmer's Cottage Foodstuff Co., Ltd",Lead,0.21,mg/kg,FSC 1.4.1,Surveillance,,
2019-11-07,Preserved salted peaches,China,"Farmer's Cottage Foodstuff Co., Ltd",Lead,0.21,mg/kg,FSC 1.4.1,Surveillance,,
2019-11-07,Spice coated fried peanuts,India,Haldiram Snacks Pvt Ltd,Aflatoxin,0.033,mg/kg,NUT 11/2018,Risk,,
2019-11-11,Margarine,Indonesia,Pt Unilever Indonesia Tbk,"Vitamin niacin, B1, B2",Not permitted in this food,,FSC 1.3.2,Surveillance,,
2019-11-11,Fresh longans,Vietnam,Chanh Thu Export And Import Fruit Company Limited,"Azoxystrobin
Difenoconazole","0.18
0.11
",mg/kg,FSC 1.4.2,Surveillance,,
2019-11-12,Fresh dates,Saudi Arabia,Manafez International,Carbendazim,0.06,mg/kg,FSC 1.4.2,Surveillance,,
2019-11-12,Sukkary fresh dates,Saudi Arabia,Manafez International,Cyhalothrin,0.03,mg/kg,FSC 1.4.2,Surveillance,,
2019-11-13,Frozen durian,Thailand,Sunshine International Co Ltd,Procymidone,0.99,mg/kg,FSC 1.4.2,Surveillance,,
2019-11-14,Peanut cake,Malaysia,Meng Choon Food Industries Sdn Bhd,Aflatoxin,0.017,mg/kg,NUT 11/2018,Risk,,
2019-11-14,Wheaten flour,Taiwan,"Yi-Feng Food Co., Ltd.",Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2019-11-18,Cereal,United Kingdom,Kelloggs (Warrington United Kingdom),"Vitmains D, B12",Not permitted in this food,,FSC 1.3.2,Surveillance,,
2019-11-20,Taleggio DOP cheese,Italy,Carozzi Roberto & C.S.N.C I03/416cee (Lecco Italy),Listeria monocytogenes,Detected,/125g,CHE 07/2018,Risk,,
2019-11-22,Ground red pepper,Nigeria,Oceanwaves Import and Export Ltd,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2019-11-25,Indian flat beans (surti papdi),India,Innovative Cuisine,Profenofos,0.09,mg/kg,FSC 1.4.2,Surveillance,,
2019-11-26,Formulated supplementary sports food,United States,Bpm Labs,Synephrine Hcl,Considered to pose a risk to human health,,Imported Food Control Act section 3(2)(a)(vii),Surveillance,,
2019-11-26,Chilli powder (deggi mirch),India,Mahashian Di Hatti Ltd (India),Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2019-11-26,Qasuri Methi fenugreek leaves (retail)   ,Pakistan,Malka Foods (Pvt) Limited,Salmonella,Detected,/125g,Imported Food Control Act section 3(2),Surveillance,,
2019-11-27,Vegetable Ivy gourd,India,Vadilal Industries Limited,Dimethoate,0.027,mg/kg,FSC 1.4.2,Surveillance,,
2019-11-28,Frozen cooked vannamei prawns,China,Zhejiang Ocean Family Co Ltd,Standard plate count,"240 000, 110 000, 160 000, 450 000, 68 000",cfu/g,CRU 03/2019,Risk,,
2019-11-29,Strawberries IQF Whole,China,Rongze Food Manufacturing Co,Acephate,0.073,mg/kg,FSC 1.4.2,Surveillance,,
2019-11-29,Spice coated fried peanuts,India,Haldiram Foods International Pvt Ltd,Aflatoxin,0.027,mg/kg,NUT 11/2018,Risk,,
2019-11-29,Seasoned seaweed,Japan,Kurakon Foods Corporation,Iodine,3500,mg/kg,BSW 12/2016,Risk,,
2019-12-02,Frozen magur tray (fish),Bangladesh,Mm Foods International,"Ciprofloxacin 
Enrofloxacin 
Levofloxocin 
Ofloxacin 
Leuco Malachite-Green
","0.015
0.073
0.021
0.021
0.008
",mg/kg,FSC 1.4.2,Surveillance,,
2019-12-03,Dragon fruit,Vietnam,The Fruit Republic Can Tho One Member Co. Ltd.,Carbendazim,0.19,mg/kg,FSC 1.4.2,Surveillance,,
2019-12-03,Frozen green chillies,India,Arctic Agro Foods Pvt. Ltd.,Difenoconazole,0.17,mg/kg,FSC 1.4.2,Surveillance,,
2019-12-04,Peanut candy,Malaysia,Desa Southern Agency (Kl) Sdn Bhd,Aflatoxin,0.048,mg/kg,NUT 11/2018,Risk,,
2019-12-05,Dried seedless longan,Thailand,O-Cha Food Pack Co. Ltd. (Thailand),Carbendazim,0.06,mg/kg,FSC 1.4.2,Surveillance,,
2019-12-05,Wheaten flour,Taiwan,Yi-Feng Food Co. Ltd.,Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2019-12-05,Durian monthong,Thailand,Sunshine International Co. Ltd.,Procymidone,0.18,mg/kg,FSC 1.4.2,Surveillance,,
2019-12-06,Yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,234,mg/kg,HIS 12/2016,Risk,,
2019-12-06,Yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,265,mg/kg,HIS 12/2016,Risk,,
2019-12-06,Yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,485,mg/kg,HIS 12/2016,Risk,,
2019-12-06,Yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,439,mg/kg,HIS 12/2016,Risk,,
2019-12-06,Spanish mackerel,Indonesia,Pt Iambeu Mina Utama,Histamine,1459,mg/kg,HIS 12/2016,Risk,,
2019-12-06,Yellowfin tuna,Maldives,Cmf Fish Processing Factory,Histamine,710,mg/kg,HIS 12/2016,Risk,,
2019-12-10,Toor dal,India,Vignesh Super Stores,Chlorpyrifos,0.074,mg/kg,FSC 1.4.2,Surveillance,,
2019-12-10,Toor dal,India,Vignesh Super Stores,Chlorpyrifos,0.13,mg/kg,FSC 1.4.2,Surveillance,,
2019-12-10,Supari slice (betel nut slice),India,Kitchen Xpress Overseas Limited,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2019-12-10,Supari sali,India,Kitchen Xpress Overseas Limited,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2019-12-10,Supari whole,India,Kitchen Xpress Overseas Limited,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2019-12-11,Smoked paprika,Spain,Pimenton El Angel S.L,Salmonella,Detected,/125g,"SPI 06/2019

",Risk,,
2019-12-13,Tapioca chips,India,Padmavasan Traders,Hydrocyanic acid,13,mg/kg,CAS 09/2016,Risk,,
2019-12-16,Margarine,Indonesia,Pt Unilever Indonesia Tbk,"Niacin, vitamin B1 and B2",Not permitted in this food,,FSC 1.3.2,Surveillance,,
2019-12-18,Frozen spinach,India,Global Gourmet Pvt. Ltd.,Chlorpyrifos,0.56,mg/kg,FSC 1.4.2,Surveillance,,
2019-12-20,Handmade nyonya peanut cake,Malaysia,Hss Confectionery Foodstuff Sdn Bhd,Aflatoxin,0.089,mg/kg,NUT 11/2018,Risk,,
2019-12-20,Handmade nyonya peanut candy,Malaysia,Hss Confectionery Foodstuff Sdn Bhd,Aflatoxin,0.007,mg/kg,NUT 11/2018,Risk,,
2019-12-23,Frozen cooked prawn cutlets,Vietnam,Ca Mau Seafood Processing and Service Joint Stock Corporation,Vibrio cholerae,Detected,/125g,CRU 03/2019,Risk,,
2019-12-23,Elderberry concentrate,Italy,Iprona Ag-Spa,"Fludioxonil
Tebuconazole","0.024
0.12",mg/kg,FSC 1.4.2,Surveillance,,
2019-12-24,Dried herring,Philippines,Kaelen Phils Inc,Histamine,410,mg/kg,HIS 12/2016,Risk,,
2019-12-24,Frozen surti beans whole,India,Innovative Cuisine,"Carbendazim
Chlorpyrifos
Fenvalerate
Monocrotophos","0.05
0.02
0.56
0.07
",mg/kg,FSC 1.4.2,Surveillance,,
2019-12-24,Frozen red chillies without tails,Vietnam,Tan Dong Trade Production Company Limited,"Chlorpyrifos,
Difenoconazole, 
Permethrin
","0.091
0.16
0.11
",mg/kg,FSC 1.4.2,Surveillance,,
2019-12-24,Organic kelp flakes,New Zealand,Ceres Enterprises Ltd,Iodine,4300,mg/kg,BSW 12/2016,Risk,,
2019-12-29,Dried anchovies,Myanmar,Domestic Co Ltd,Histamine,295,mg/kg,HIS 12/2016,Risk,,
2019-12-30,Cooked salad prawns,China,Fijian Dongshan County Shunfa Aquatic Co. Ltd.,Coagulase-positive staphylococci,"<100, <100, <100, 2700, <100",cfu/g,CRU 03/2019,Risk,,
2019-12-31,Pilchards in hot chilli sauce,South Africa,Lucky Star,Irradiated cayenne pepper,Not a permitted treatment for this food,,FSC 1.5.3,Risk,,
2019-12-31,Salted mackerel fillets,Republic of Korea,Samjin Globalnet Co Ltd,Histamine,209,mg/kg,HIS 12/2016,Risk,,
2020-01-07,Frozen pandan leaves,Thailand,"O-Cha Food Pack Co., Ltd (Thailand)",Fludioxonil,0.03,mg/kg,FSC 1.4.2,Surveillance,,
2020-01-07,Frozen cooked black tiger prawns,Vietnam,Trong Nhan Seafood Company,Vibrio alginolyticus,Detected,/125g,"Section3, (2)(i) of the Imported Food Control Act 1992 

",Risk,,
2020-01-07,Toor dal,Myanmar,Ays Mfg Co Ltd,Chlorpyrifos,0.038,mg/kg,FSC 1.4.2,Surveillance,,
2020-01-07,Peanut cake,Malaysia,Meng Choon Food Industries Sdn Bhd,Aflatoxin,0.057,mg/kg,NUT 11/2018,Risk,,
2020-01-09,Cooked pasted crab,Vietnam,Hai Chau Aquatic Product Company Limited,Standard plate count,"100 000, 150 000, 73 000, 77 000, 290 0000",cfu/g,CRU 03/2019,Risk,,
2020-01-10,Margarine,Indonesia,Pt Unilever Indonesia Tbk,"Niacin ,Vitamin B1 and B2",Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-01-15,Fresh betel leaves,India,Thangapandi International,"Carbendazim 
Metalaxyl
","0.065
0.92
",mg/kg,FSC 1.4.2,Surveillance,,
2020-01-17,Tapioca chips,India,Malabar Natural Foods Pvt Ltd,Hydrocyanic acid,20,mg/kg,CAS 09/2016,Risk,,
2020-01-17,Frozen basa steaks,Vietnam,Viet Nam Fish Co Ltd,Enrofloxacin,0.005,mg/kg,FSC 1.4.2,Surveillance,,
2020-01-17,Tapioca chips masala flavour,India,Malabar Natural Foods Pvt Ltd,Hydrocyanic acid,24,mg/kg,CAS 09/2016,Risk,,
2020-01-17,Frozen hot thai red chillies,Vietnam,Thai Thuan Binh Co.Ltd,"Chlorpyrifos 
Difenoconazole
","0.042
0.071
",mg/kg,FSC 1.4.2,Surveillance,,
2020-01-17,Frozen hot thai red chillies,Vietnam,Thai Thuan Binh Co.Ltd,"Difenoconazole
Propiconazole
","0.059
0.11
",mg/kg,FSC 1.4.2,Surveillance,,
2020-01-21,Frozen soft shell crab,Myanmar,"Gallant Ocean Trading Co., Ltd.",Nitrofurazone,0.002,mg/kg,FSC 1.4.2,Surveillance,,
2020-01-21,Chinese spinach,China,Shanghai Xushun Foodstuff Co Ltd,Paclobutrazol,0.02,mg/kg,FSC 1.4.2,Surveillance,,
2020-01-21,Frozen soft shell crab,Myanmar,"Gallant Ocean Trading Co., Ltd.",Nitrofurazone,0.003,mg/kg,FSC 1.4.2,Surveillance,,
2020-01-21,Gorgonzola dolce intero DOP cheese,Italy,La Casearia Carpenedo,Listeria monocytogenes,Detected,/125g,CHE 07/2018,Risk,,
2020-01-21,Frozen soft shell crab,Myanmar,"Gallant Ocean Trading Co., Ltd.",Nitrofurazone,0.003,mg/kg,FSC 1.4.2,Surveillance,,
2020-01-21,Black pepper,Iran,Golha Food Industries,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2020-01-23,Tapioca chips,India,Malabar Natural Foods Pvt Ltd,Hydrocyanic acid,21,mg/kg,CAS 09/2016,Risk,,
2020-01-23,Tapioca chilli strips,India,Malabar Natural Foods Pvt Ltd,Hydrocyanic acid,11,mg/kg,CAS 09/2016,Risk,,
2020-01-28,Preserved plums,China,Kai Fat Foods Company Limited,Additive Sodium benzoate (E211),Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-01-28,Crushed chilli,Myanmar,H-Htet Company Limited,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2020-01-30,Peanuts,Indonesia,Ud Galang,Aflatoxin,0.045,mg/kg,NUT 11/2018,Risk,,
2020-01-30,Hot and spicy cracker nuts,Philippines,Dmc Enterprise,Aflatoxin,0.016,mg/kg,NUT 11/2018,Risk,,
2020-01-30,Salted anchovies,Philippines,Golden Hands Mfg Corp,Histamine,260,mg/kg,HIS 12/2016,Risk,,
2020-01-30,Frozen cooked and peeled vannamei shrimp,Vietnam,Ocean Shine Food Ltd Co (Osc),Standard plate count,"59 000, 33 000, 16 000, 210 000, 1 100 000",cfu/g,CRU 03/2019,Risk,,
2020-01-31,Canned halved white peaches,Republic of Korea,Sempio Food Company (Korea),Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-01-31,Raspberry juice concentrate,United States,Doehler Juice Solutions,Captan,33.7,mg/kg,FSC 1.4.2,Surveillance,,
2020-02-03,Salted mackerel fish in oil,Thailand,Chonburi Lc Co Ltd (Establishment 3106),Histamine,310,mg/kg,HIS 12/2016,Risk,,
2020-02-05,Elbow macaroni,Philippines,Rfm Corporation (Philippines),Vitamin A,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-02-05,Coffee flavoured jelly,Philippines,Grand Alphatech International Corporation,Additive E 127 (Erythrosine),Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-02-05,Spaghetti,Philippines,Rfm Corporation (Philippines),Vitamin A,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-02-06,Frozen durian monthong,Thailand,Sunshine International Co Ltd,"Chlorpyrifos

Procymidone","0.072

0.071",mg/kg,FSC 1.4.2,Surveillance,,
2020-02-06,Crispy paprika coated peanuts,Turkey,Suterco Gida Urun,Aflatoxin,0.055,mg/kg,NUT 11/2018,Risk,,
2020-02-07,Kelp shreds,China,Fuzhou Hailin Food Co Ltd,Iodine,3600,mg/kg,BSW 12/2016,Risk,,
2020-02-07,Chilled tuna loins,Indonesia,Pt Iambeu Mina Utama,Histamine,387,mg/kg,HIS 12/2016,Risk,,
2020-02-10,Rice milk,Republic of Korea,Okf Corporation,Vitamin A,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-02-10,Mix preserved fruit,Myanmar,Domestic Preserved Fruit Manufacturing Co Ltd,Lead,1.9,mg/kg,FSC 1.4.1,Surveillance,,
2020-02-10,Frozen spinach leaves,India,Vadilal Industries Limited,"Acephate
 
Profenofos
","0.21

0.59",mg/kg,FSC 1.4.2,Surveillance,,
2020-02-11,Mixed fruit jam,India,Dorsal Expoventure Private Limited,Vitamin B3,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-02-11,Ground pepper,Taiwan,Rich Care Co Ltd,Salmonella,Detected,/125g,"SPI06/2019

",Risk,,
2020-02-12,Bumbu sate kacang (peanut satay seasoning) ,Indonesia,Pd Setia Makmur Mandiri,Aflatoxin,0.062,mg/kg,NUT 11/2018,Risk,,
2020-02-12,Snack dried plums,China,Anhui Liuliu Orchard Group Co Ltd,Lead,0.34,mg/kg,FSC 1.4.1,Surveillance,,
2020-02-12,Dried ground chilli,Vietnam,Bach Mai Enterprise,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2020-02-12,Organic kelp flakes,New Zealand,Ceres Enterprises Ltd,Iodine,3700,mg/kg,BSW 12/2016,Risk,,
2020-02-12,Organic kelp flakes,New Zealand,Ceres Enterprises Ltd,Iodine,4000,mg/kg,BSW 12/2016,Risk,,
2020-02-12,Chilled mackerel,Indonesia,Pt Iambeu Mina Utama,Histamine,1200,mg/kg,HIS 12/2016,Risk,,
2020-02-12,Snack green plums,China,Anhui Liuliu Orchard Group Co Ltd,Lead,0.2,mg/kg,FSC 1.4.1,Surveillance,,
2020-02-14,Peanut candy,India,Fineday Foods,Aflatoxin,0.14,mg/kg,NUT 11/2018,Risk,,
2020-02-14,Dried striped catfish,Thailand,Chatchawan Import Export And Packaging Ltd Part (Establishment 3068),Enrofloxacin,0.004,mg/kg,FSC 1.4.2,Surveillance,,
2020-02-14,Chilled tuna loins,Indonesia,Pt Iambeu Mina Utama,Histamine,509,mg/kg,HIS 12/2016,Risk,,
2020-02-17,Black eye bean seeds,United States,Kirsten Company Llc,Acephate,0.39,mg/kg,FSC 1.4.2,Surveillance,,
2020-02-19,Sweet soy sauce,Thailand,Sunshine International Co Ltd,Iodine,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-02-20,Frozen cooked and peeled shrimp,Thailand,Top Product Food Co Ltd,Standard plate count,"57 000, 8 000 000, 8 600 000, 6 500 000, 2 000 000",cfu/g,CRU 03/2019,Risk,,
2020-02-20,Frozen cooked and peeled shrimp,Thailand,Top Product Food Co Ltd,Standard plate count,"230 000, 60 000, 400 000, 700 000, 1 400 000",cfu/g,CRU 03/2019,Risk,,
2020-02-20,Frozen cooked and peeled shrimp,Thailand,Top Product Food Co Ltd,Standard plate count,"5 000 000, 250 000, 5 000, 1 600 000, 2 700 000",cfu/g,CRU 03/2019,Risk,,
2020-02-20,Sesame paste,China,Sichuan Hongya Uniseed Food Co Ltd,Salmonella,Detected,/125g,SES 05/2014,Risk,,
2020-02-24,Strawberry jam cupcakes,Pakistan,Hilal Foods,Additive sodium benzoate,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-02-24,Marble cake slices,Pakistan,Hilal Foods,Additive sodium benzoate,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-02-25,Cleaned headless red tilapia fish,Vietnam,Hung Phong Co Ltd (Dl 531),"Ciprofloxacin

Enrofloxacin
","0.037

0.27",mg/kg,FSC 1.4.2,Surveillance,,
2020-02-25,Whole snakehead fish,Vietnam,Hung Phong Co Ltd (Dl 531),"Ciprofloxacin

Enrofloxacin

Levofloxacin
 
Ofloxacin
","0.38

0.33

0.0069

0.0069",mg/kg,FSC 1.4.2,Surveillance,,
2020-02-26,Frozen spinach,India,Global Gourmet Pvt Ltd,Chlorpyrifos ,0.33,mg/kg,FSC 1.4.2,Surveillance,,
2020-02-26,Frozen spinach,India,Global Gourmet Pvt Ltd,"Chlorpyrifos

Acephate

Profenofos
","0.9

0.28

0.36",mg/kg,FSC 1.4.2,Surveillance,,
2020-02-27,Cereal,Japan,"Calbee, Inc.","Vitamin B12
 
Ferric Sodium Citrate
",Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-02-28,Frozen green chillies,India,Arctic Agro Foods Pvt Ltd,Tebuconazole,0.08,mg/kg,FSC 1.4.2,Surveillance,,
2020-02-28,Panang curry paste,Thailand,Infinite 8,Aflatoxin,0.113,mg/kg,NUT 11/2018,Risk,,
2020-02-28,Frozen sliced coconut,India,Parayil Food Products,Salmonella,Detected,/250g,"Imported Food Control Act section 3(2)

",Surveillance,,
2020-03-02,Frozen dried longan,Thailand,Tanaya International Co Ltd,Carbendazim,0.055,mg/kg,FSC 1.4.2,Surveillance,,
2020-03-02,Dried elberta peaches halves,South Africa,Ceres Fruit Juices Pty Ltd (South Africa),Thiabendazole,0.046,mg/kg,FSC 1.4.2,Surveillance,,
2020-03-02,Frozen dried longan,Thailand,Tanaya International Co Ltd,Carbendazim,0.19,mg/kg,FSC 1.4.2,Surveillance,,
2020-03-02,Caffeine tablets,United States,Arnet Pharmaceuticals,Caffeine,30.8,g/100g,CAF 12/2019,Risk,,
2020-03-03,Kashmiri chilli powder,India,Brahmins Foods India (P) Ltd,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2020-03-04,Pan masala,India,Dharampal Satyapal Ltd,Areca catechu,Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-03-04,Dried strawberries,Iran,Ratin Khosh Co,Carbendazim,0.12,mg/kg,FSC 1.4.2,Surveillance,,
2020-03-05,Fresh naval oranges,Egypt,El Rawan Co For Import & Export,Cyhalothrin,0.071,mg/kg,FSC 1.4.2,Surveillance,,
2020-03-06,Dried longan meat,Thailand,Reanthong Agro Product Limited Partnership,Carbendazim,0.13,mg/kg,FSC 1.4.2,Surveillance,,
2020-03-11,Frozen boiled king crab legs,Japan,Yutaka Suisan,Listeria monocytogenes,Detected,/125g,CRU 03/2019,Risk,,
2020-03-16,Powdered herring,Ghana,Gorgino Enterprise,Histamine,292,mg/kg,HIS 12/2016,Risk,,
2020-03-17,Chana dhal,Sri Lanka,Colombo Commodities,Pirimiphos Methyl,0.16,mg/kg,FSC 1.4.2,Surveillance,,
2020-03-17,Curry paste,Thailand,D&G Food Supply Co Ltd,Aflatoxin,0.244,mg/kg,NUT 11/2018,Risk,,
2020-03-18,Frozen green chillies,India,Arctic Agro Foods Pvt Ltd,"Cyhalothrin

Tebuconazole
","0.03

0.07
",mg/kg,FSC 1.4.2,Surveillance,,
2020-03-18,Frozen green chillies,India,Arctic Agro Foods Pvt Ltd,Cyhalothrin,0.02,mg/kg,FSC 1.4.2,Surveillance,,
2020-03-24,Bhindi (baby okra),India,Global Gourmet Pvt Ltd,Monocrotophos,"0.073

Not permitted in this food",mg/kg,FSC 1.4.2,Surveillance,,
2020-03-24,Frozen spinach,India,Global Gourmet Pvt Ltd,"Chlorpyrifos

Profenofos
","0.67

0.034
",mg/kg,FSC 1.4.2,Surveillance,,
2020-03-24,Instant coffee mix with white kidney bean extract,Thailand,New Concept Product Co.,"Vitamin B1, B2 and B6",Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-03-24,Frozen surti papdi (whole indian  beans),India,Global Gourmet Pvt Ltd,Profenofos,0.047,mg/kg,FSC 1.4.2,Surveillance,,
2020-03-24,Instant coffee mix with collagen,Thailand,New Concept Product Co.,Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-03-25,Frozen okra,Egypt,United Co. For Food Industry(Sae),Chlorpyrifos,0.02,mg/kg,FSC 1.4.2,Surveillance,,
2020-03-25,Seasoning,Vietnam,Thao Nhi Import Export Company Limited,Vitamin A,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-03-27,Peanut satay sauce,Indonesia,Pt Enak Jaya Makmur (Indonesia),Aflatoxin,0.041,mg/kg,NUT 11/2018,Risk,,
2020-03-30,Formulated supplementary sports food,United States,Granite Supplements,Caffeine,8.33,g/100g,CAF 12/2019,Risk,,
2020-03-30,Frozen mixed fruit ,Canada,Nature's Touch Frozen Foods Inc,Tau-fluvalinate,"0.11

Not permitted in this food",mg/kg,FSC 1.4.2,Surveillance,,
2020-03-30,Dietary supplement,United States,Spectrum Labs,St John’s wort extract (Hypericum perforatum),Restricted plant,,FSC 1.4.4,Surveillance,,
2020-03-30,Peanut masala,India,Malabar Natural Foods Pvt Ltd,Aflatoxin,0.022,mg/kg,NUT 11/2018,Risk,,
2020-03-30,Formulated supplementary sports food,United States,Granite Supplements,Caffeine,10,g/100g,CAF 12/2019,Risk,,
2020-03-30,Peanut candy bar,India,Malabar Natural Foods Pvt Ltd,Aflatoxin,0.012,mg/kg,NUT 11/2018,Risk,,
2020-03-30,Sardines in tomato sauce with chilli,Philippines,Chattrade Enterprises,"Additive E160b 
(annatto)
",Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-04-01,Frozen red chillies,Vietnam,D&T Green Food Co Ltd,"Difenoconazole 
Hexaconazole
","0.09
0.07
",mg/kg,FSC 1.4.2,Surveillance,,
2020-04-03,Black eyed beans,United States,Columbia Bean And Produce Co Inc,"Acephate 
Methamidophos
","0.26
0.079
",mg/kg,FSC 1.4.2,Surveillance,,
2020-04-03,Frozen spinach,India,Global Gourmet Pvt Ltd,Chlorpyrifos,0.31,mg/kg,FSC 1.4.2,Surveillance,,
2020-04-07,Seedless tamarind,India,Sagar International,Lead,0.35,mg/kg,FSC 1.4.1,Surveillance,,
2020-04-08,Tapioca chips masala,India,Malabar Natural Foods Pvt Ltd,Hydrocyanic acid,22,mg/kg,CAS 09/2016,Risk,,
2020-04-08,Tapioca chips,India,Malabar Natural Foods Pvt Ltd,Hydrocyanic acid,21,mg/kg,"CAS 09/2016

",Risk,,
2020-04-09,Ossau Iraty cheese (sheep’s milk cheese),France,Agour Distrib Sarl 64640 F64259100cee (Helette France),Listeria monocytogenes,Detected,/125g,CHE 07/2018,Risk,,
2020-04-16,Frozen spinach,India,Global Gourmet Pvt Ltd,Chlorpyrifos,0.38,mg/kg,FSC 1.4.2,Surveillance,,
