Date_of_fail,Product_description,Country_of_origin,Producer_name,Reason_for_fail,Results,Units,Reference,Category,Test_applied,Holding_order_number
2019-12-10,toor dal,india,vignesh super stores,chlorpyrifos,0.074,mg/kg,fsc 142,surveillance,nan,
2019-12-10,toor dal,india,vignesh super stores,chlorpyrifos,0.13,mg/kg,fsc 142,surveillance,nan,
2019-12-10,supari slice betel nut slice,india,kitchen xpress overseas,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2019-12-10,supari sali,india,kitchen xpress overseas,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2019-12-10,supari whole,india,kitchen xpress overseas,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2019-12-11,smoked paprika,spain,pimenton el angel sl,salmonella,Detected,/125g,spi 062019,risk,nan,
2019-12-13,tapioca chips,india,padmavasan traders,hydrocyanic acid,13,mg/kg,cas 092016,risk,nan,
2019-12-16,margarine,indonesia,pt unilever indonesia tbk,niacin vitamin b1 and b2,Not permitted in this food,,fsc 132,surveillance,nan,
2019-12-18,frozen spinach,india,global gourmet,chlorpyrifos,0.56,mg/kg,fsc 142,surveillance,nan,
2019-12-20,handmade nyonya peanut cake,malaysia,hss confectionery foodstuff,aflatoxin,0.089,mg/kg,nut 112018,risk,nan,
2019-12-20,handmade nyonya peanut candy,malaysia,hss confectionery foodstuff,aflatoxin,0.007,mg/kg,nut 112018,risk,nan,
2019-12-23,frozen cooked prawn cutlets,vietnam,ca mau seafood processing and service joint stock,vibrio cholerae,Detected,/125g,cru 032019,risk,nan,
2019-12-23,elderberry concentrate,italy,iprona agspa,"fludioxonil
tebuconazole","0.024
0.12",mg/kg,fsc 142,surveillance,nan,
2019-12-24,dried herring,philippines,kaelen phils,histamine,410,mg/kg,his 122016,risk,nan,
2019-12-24,frozen surti beans whole,india,innovative cuisine,"carbendazim
chlorpyrifos
fenvalerate
monocrotophos","0.05
0.02
0.56
0.07
",mg/kg,fsc 142,surveillance,nan,
2019-12-24,frozen red chillies without tails,vietnam,tan dong trade production company,"chlorpyrifos
difenoconazole 
permethrin","0.091
0.16
0.11
",mg/kg,fsc 142,surveillance,nan,
2019-12-24,organic kelp flakes,new zealand,ceres enterprises,iodine,4300,mg/kg,bsw 122016,risk,nan,
2019-12-29,dried anchovies,myanmar,domestic,histamine,295,mg/kg,his 122016,risk,nan,
2019-12-30,cooked salad prawns,china,fijian dongshan county shunfa aquatic,coagulasepositive staphylococci,"<100, <100, <100, 2700, <100",cfu/g,cru 032019,risk,nan,
2019-12-31,pilchards in hot chilli sauce,south africa,lucky star,irradiated cayenne pepper,Not a permitted treatment for this food,,fsc 153,risk,nan,
2019-12-31,salted mackerel fillets,korea,samjin globalnet,histamine,209,mg/kg,his 122016,risk,nan,
2020-01-07,frozen pandan leaves,thailand,ocha food pack,fludioxonil,0.03,mg/kg,fsc 142,surveillance,nan,
2020-01-07,frozen cooked black tiger prawns,vietnam,trong nhan seafood company,vibrio alginolyticus,Detected,/125g,section3 2i of the imported food control act 1992,risk,nan,
2020-01-07,toor dal,myanmar,ays mfg,chlorpyrifos,0.038,mg/kg,fsc 142,surveillance,nan,
2020-01-07,peanut cake,malaysia,meng choon food industries,aflatoxin,0.057,mg/kg,nut 112018,risk,nan,
2020-01-09,cooked pasted crab,vietnam,hai chau aquatic product company,standard plate count,"100 000, 150 000, 73 000, 77 000, 290 0000",cfu/g,cru 032019,risk,nan,
2020-01-10,margarine,indonesia,pt unilever indonesia tbk,niacin vitamin b1 and b2,Not permitted in this food,,fsc 132,surveillance,nan,
2020-01-15,fresh betel leaves,india,thangapandi international,"carbendazim 
metalaxyl","0.065
0.92
",mg/kg,fsc 142,surveillance,nan,
2020-01-17,tapioca chips,india,malabar natural foods,hydrocyanic acid,20,mg/kg,cas 092016,risk,nan,
2020-01-17,frozen basa steaks,vietnam,viet nam fish,enrofloxacin,0.005,mg/kg,fsc 142,surveillance,nan,
2020-01-17,tapioca chips masala flavour,india,malabar natural foods,hydrocyanic acid,24,mg/kg,cas 092016,risk,nan,
2020-01-17,frozen hot thai red chillies,vietnam,thai thuan binh coltd,"chlorpyrifos 
difenoconazole","0.042
0.071
",mg/kg,fsc 142,surveillance,nan,
2020-01-17,frozen hot thai red chillies,vietnam,thai thuan binh coltd,"difenoconazole
propiconazole","0.059
0.11
",mg/kg,fsc 142,surveillance,nan,
2020-01-21,frozen soft shell crab,myanmar,gallant ocean trading,nitrofurazone,0.002,mg/kg,fsc 142,surveillance,nan,
2020-01-21,chinese spinach,china,shanghai xushun foodstuff,paclobutrazol,0.02,mg/kg,fsc 142,surveillance,nan,
2020-01-21,frozen soft shell crab,myanmar,gallant ocean trading,nitrofurazone,0.003,mg/kg,fsc 142,surveillance,nan,
2020-01-21,gorgonzola dolce intero dop cheese,italy,la casearia carpenedo,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2020-01-21,frozen soft shell crab,myanmar,gallant ocean trading,nitrofurazone,0.003,mg/kg,fsc 142,surveillance,nan,
2020-01-21,black pepper,iran,golha food industries,salmonella,Detected,/125g,spi 062019,risk,nan,
2020-01-23,tapioca chips,india,malabar natural foods,hydrocyanic acid,21,mg/kg,cas 092016,risk,nan,
2020-01-23,tapioca chilli strips,india,malabar natural foods,hydrocyanic acid,11,mg/kg,cas 092016,risk,nan,
2020-01-28,preserved plums,china,kai fat foods company,additive sodium benzoate e211,Not permitted in this food,,fsc 131,surveillance,nan,
2020-01-28,crushed chilli,myanmar,hhtet company,salmonella,Detected,/125g,spi 062019,risk,nan,
2020-01-30,peanuts,indonesia,ud galang,aflatoxin,0.045,mg/kg,nut 112018,risk,nan,
2020-01-30,hot and spicy cracker nuts,philippines,dmc enterprise,aflatoxin,0.016,mg/kg,nut 112018,risk,nan,
2020-01-30,salted anchovies,philippines,golden hands mfg corp,histamine,260,mg/kg,his 122016,risk,nan,
2020-01-30,frozen cooked and peeled vannamei shrimp,vietnam,ocean shine food   osc,standard plate count,"59 000, 33 000, 16 000, 210 000, 1 100 000",cfu/g,cru 032019,risk,nan,
2020-01-31,canned halved white peaches,korea,sempio food company,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2020-01-31,raspberry juice concentrate,united states,doehler juice solutions,captan,33.7,mg/kg,fsc 142,surveillance,nan,
2020-02-03,salted mackerel fish in oil,thailand,chonburi lc   establishment 3106,histamine,310,mg/kg,his 122016,risk,nan,
2020-02-05,elbow macaroni,philippines,rfm  philippines,vitamin a,Not permitted in this food,,fsc 132,surveillance,nan,
2020-02-05,coffee flavoured jelly,philippines,grand alphatech international,additive e 127 erythrosine,Not permitted in this food,,fsc 131,surveillance,nan,
2020-02-05,spaghetti,philippines,rfm  philippines,vitamin a,Not permitted in this food,,fsc 132,surveillance,nan,
2020-02-06,frozen durian monthong,thailand,sunshine international,"chlorpyrifos

procymidone","0.072

0.071",mg/kg,fsc 142,surveillance,nan,
2020-02-06,crispy paprika coated peanuts,turkey,suterco gida urun,aflatoxin,0.055,mg/kg,nut 112018,risk,nan,
2020-02-07,kelp shreds,china,fuzhou hailin food,iodine,3600,mg/kg,bsw 122016,risk,nan,
2020-02-07,chilled tuna loins,indonesia,pt iambeu mina utama,histamine,387,mg/kg,his 122016,risk,nan,
2020-02-10,rice milk,korea,okf,vitamin a,Not permitted in this food,,fsc 132,surveillance,nan,
2020-02-10,mix preserved fruit,myanmar,domestic preserved fruit manufacturing,lead,1.9,mg/kg,fsc 141,surveillance,nan,
2020-02-10,frozen spinach leaves,india,vadilal industries,"acephate
 
profenofos","0.21

0.59",mg/kg,fsc 142,surveillance,nan,
2020-02-11,mixed fruit jam,india,dorsal expoventure private,vitamin b3,Not permitted in this food,,fsc 132,surveillance,nan,
2020-02-11,ground pepper,taiwan,rich care,salmonella,Detected,/125g,spi062019,risk,nan,
2020-02-12,bumbu sate kacang peanut satay seasoning,indonesia,pd setia makmur mandiri,aflatoxin,0.062,mg/kg,nut 112018,risk,nan,
2020-02-12,snack dried plums,china,anhui liuliu orchard group,lead,0.34,mg/kg,fsc 141,surveillance,nan,
2020-02-12,dried ground chilli,vietnam,bach mai enterprise,salmonella,Detected,/125g,spi 062019,risk,nan,
2020-02-12,organic kelp flakes,new zealand,ceres enterprises,iodine,3700,mg/kg,bsw 122016,risk,nan,
2020-02-12,organic kelp flakes,new zealand,ceres enterprises,iodine,4000,mg/kg,bsw 122016,risk,nan,
2020-02-12,chilled mackerel,indonesia,pt iambeu mina utama,histamine,1200,mg/kg,his 122016,risk,nan,
2020-02-12,snack green plums,china,anhui liuliu orchard group,lead,0.2,mg/kg,fsc 141,surveillance,nan,
2020-02-14,peanut candy,india,fineday foods,aflatoxin,0.14,mg/kg,nut 112018,risk,nan,
2020-02-14,dried striped catfish,thailand,chatchawan import export and packaging  part establishment 3068,enrofloxacin,0.004,mg/kg,fsc 142,surveillance,nan,
2020-02-14,chilled tuna loins,indonesia,pt iambeu mina utama,histamine,509,mg/kg,his 122016,risk,nan,
2020-02-17,black eye bean seeds,united states,kirsten company llc,acephate,0.39,mg/kg,fsc 142,surveillance,nan,
2020-02-19,sweet soy sauce,thailand,sunshine international,iodine,Not permitted in this food,,fsc 132,surveillance,nan,
2020-02-20,frozen cooked and peeled shrimp,thailand,top product food,standard plate count,"57 000, 8 000 000, 8 600 000, 6 500 000, 2 000 000",cfu/g,cru 032019,risk,nan,
2020-02-20,frozen cooked and peeled shrimp,thailand,top product food,standard plate count,"230 000, 60 000, 400 000, 700 000, 1 400 000",cfu/g,cru 032019,risk,nan,
2020-02-20,frozen cooked and peeled shrimp,thailand,top product food,standard plate count,"5 000 000, 250 000, 5 000, 1 600 000, 2 700 000",cfu/g,cru 032019,risk,nan,
2020-02-20,sesame paste,china,sichuan hongya uniseed food,salmonella,Detected,/125g,ses 052014,risk,nan,
2020-02-24,strawberry jam cupcakes,pakistan,hilal foods,additive sodium benzoate,Not permitted in this food,,fsc 131,surveillance,nan,
2020-02-24,marble cake slices,pakistan,hilal foods,additive sodium benzoate,Not permitted in this food,,fsc 131,surveillance,nan,
2020-02-25,cleaned headless red tilapia fish,vietnam,hung phong   dl 531,"ciprofloxacin

enrofloxacin","0.037

0.27",mg/kg,fsc 142,surveillance,nan,
2020-02-25,whole snakehead fish,vietnam,hung phong   dl 531,"ciprofloxacin

enrofloxacin

levofloxacin
 
ofloxacin","0.38

0.33

0.0069

0.0069",mg/kg,fsc 142,surveillance,nan,
2020-02-26,frozen spinach,india,global gourmet,chlorpyrifos,0.33,mg/kg,fsc 142,surveillance,nan,
2020-02-26,frozen spinach,india,global gourmet,"chlorpyrifos

acephate

profenofos","0.9

0.28

0.36",mg/kg,fsc 142,surveillance,nan,
2020-02-27,cereal,japan,calbee,"vitamin b12
 
ferric sodium citrate",Not permitted in this food,,fsc 132,surveillance,nan,
2020-02-28,frozen green chillies,india,arctic agro foods,tebuconazole,0.08,mg/kg,fsc 142,surveillance,nan,
2020-02-28,panang curry paste,thailand,infinite 8,aflatoxin,0.113,mg/kg,nut 112018,risk,nan,
2020-02-28,frozen sliced coconut,india,parayil food products,salmonella,Detected,/250g,imported food control act section 32,surveillance,nan,
2020-03-02,frozen dried longan,thailand,tanaya international,carbendazim,0.055,mg/kg,fsc 142,surveillance,nan,
2020-03-02,dried elberta peaches halves,south africa,ceres fruit juices   south africa,thiabendazole,0.046,mg/kg,fsc 142,surveillance,nan,
2020-03-02,frozen dried longan,thailand,tanaya international,carbendazim,0.19,mg/kg,fsc 142,surveillance,nan,
2020-03-02,caffeine tablets,united states,arnet pharmaceuticals,caffeine,30.8,g/100g,caf 122019,risk,nan,
2020-03-03,kashmiri chilli powder,india,brahmins foods  p,salmonella,Detected,/125g,spi 062019,risk,nan,
2020-03-04,pan masala,india,dharampal satyapal,areca catechu,Prohibited plant,,fsc 144,surveillance,nan,
2020-03-04,dried strawberries,iran,ratin khosh,carbendazim,0.12,mg/kg,fsc 142,surveillance,nan,
2020-03-05,fresh naval oranges,egypt,el rawan  for import export,cyhalothrin,0.071,mg/kg,fsc 142,surveillance,nan,
2020-03-06,dried longan meat,thailand,reanthong agro product  partnership,carbendazim,0.13,mg/kg,fsc 142,surveillance,nan,
2020-03-11,frozen boiled king crab legs,japan,yutaka suisan,listeria monocytogenes,Detected,/125g,cru 032019,risk,nan,
2020-03-16,powdered herring,ghana,gorgino enterprise,histamine,292,mg/kg,his 122016,risk,nan,
2020-03-17,chana dhal,sri lanka,colombo commodities,pirimiphos methyl,0.16,mg/kg,fsc 142,surveillance,nan,
2020-03-17,curry paste,thailand,dg food supply,aflatoxin,0.244,mg/kg,nut 112018,risk,nan,
2020-03-18,frozen green chillies,india,arctic agro foods,"cyhalothrin

tebuconazole","0.03

0.07
",mg/kg,fsc 142,surveillance,nan,
2020-03-18,frozen green chillies,india,arctic agro foods,cyhalothrin,0.02,mg/kg,fsc 142,surveillance,nan,
2020-03-24,bhindi baby okra,india,global gourmet,monocrotophos,"0.073

Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-03-24,frozen spinach,india,global gourmet,"chlorpyrifos

profenofos","0.67

0.034
",mg/kg,fsc 142,surveillance,nan,
2020-03-24,instant coffee mix with white kidney bean extract,thailand,new concept product,vitamin b1 b2 and b6,Not permitted in this food,,fsc 132,surveillance,nan,
2020-03-24,frozen surti papdi whole indian beans,india,global gourmet,profenofos,0.047,mg/kg,fsc 142,surveillance,nan,
2020-03-24,instant coffee mix with collagen,thailand,new concept product,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2020-03-25,frozen okra,egypt,united  for food industrysae,chlorpyrifos,0.02,mg/kg,fsc 142,surveillance,nan,
2020-03-25,seasoning,vietnam,thao nhi import export company,vitamin a,Not permitted in this food,,fsc 132,surveillance,nan,
2020-03-27,peanut satay sauce,indonesia,pt enak jaya makmur indonesia,aflatoxin,0.041,mg/kg,nut 112018,risk,nan,
2020-03-30,formulated supplementary sports food,united states,granite supplements,caffeine,8.33,g/100g,caf 122019,risk,nan,
2020-03-30,frozen mixed fruit,canada,natures touch frozen foods,taufluvalinate,"0.11

Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-03-30,dietary supplement,united states,spectrum labs,st johns wort extract hypericum perforatum,Restricted plant,,fsc 144,surveillance,nan,
2020-03-30,peanut masala,india,malabar natural foods,aflatoxin,0.022,mg/kg,nut 112018,risk,nan,
2020-03-30,formulated supplementary sports food,united states,granite supplements,caffeine,10,g/100g,caf 122019,risk,nan,
2020-03-30,peanut candy bar,india,malabar natural foods,aflatoxin,0.012,mg/kg,nut 112018,risk,nan,
2020-03-30,sardines in tomato sauce with chilli,philippines,chattrade enterprises,"additive e160b 
annatto",Not permitted in this food,,fsc 131,surveillance,nan,
2020-04-01,frozen red chillies,vietnam,dt green food,"difenoconazole 
hexaconazole","0.09
0.07
",mg/kg,fsc 142,surveillance,nan,
2020-04-03,black eyed beans,united states,columbia bean and produce,"acephate 
methamidophos","0.26
0.079
",mg/kg,fsc 142,surveillance,nan,
2020-04-03,frozen spinach,india,global gourmet,chlorpyrifos,0.31,mg/kg,fsc 142,surveillance,nan,
2020-04-07,seedless tamarind,india,sagar international,lead,0.35,mg/kg,fsc 141,surveillance,nan,
2020-04-08,tapioca chips masala,india,malabar natural foods,hydrocyanic acid,22,mg/kg,cas 092016,risk,nan,
2020-04-08,tapioca chips,india,malabar natural foods,hydrocyanic acid,21,mg/kg,cas 092016,risk,nan,
2020-04-09,ossau iraty cheese sheeps milk cheese,france,agour distrib sarl 64640 f64259100cee helette france,listeria monocytogenes,Detected,/125g,che 072018,risk,nan,
2020-04-16,frozen spinach,india,global gourmet,chlorpyrifos,0.38,mg/kg,fsc 142,surveillance,nan,
2020-04-17,long beans,fiji,labasa farm fresh,"acephate 
methamidophos","0.81
0.15
",mg/kg,fsc 142,surveillance,nan,
2020-04-17,seasoned vinegar ponzu,japan,marukan su   japan,additive colouring  carthamus yellow,Not permitted in this food,,fsc 131,surveillance,nan,
2020-04-20,hachimitsu ume pickled plums,japan,nagayama foods factory,vitamin b1,Vitamin B1 Not permitted in this food,,fsc 132,surveillance,nan,
2020-04-20,shiso zuke ume pickled plums,japan,nagayama foods factory,vitamin b1,Not permitted in this food,,fsc 132,surveillance,nan,
2020-04-20,katsuo ume pickled plums,japan,nagayama foods factory,vitamin b1,Not permitted in this food,,fsc 132,surveillance,nan,
2020-04-21,salted anchovies,philippines,pop export trading,histamine,260,mg/kg,his 122016,risk,nan,
2020-04-21,pickled green olives,lebanon,societe robert jabbour,lead,0.16,mg/kg,fsc 141,surveillance,nan,
2020-04-22,spice coated fried peanuts,india,haldirams snacks,aflatoxin,0.048,mg/kg,nut 112018,risk,nan,
2020-04-22,pistachios,iran,ratin khosh,aflatoxin,0.087,mg/kg,nut 112018,risk,nan,
2020-04-23,chilli fermented bean curd,china,kaiping guanghe fermented bean curd,bacillus cereus,"3 600, 430, 7 800, 1 100, >15 000",cfu/g,imported food control act section 32,surveillance,nan,
2020-04-23,wheat flour,indonesia,pt indofood cbp sukses makmur indonesia,vitamin a d3,Not permitted in this food,,fsc 132,surveillance,nan,
2020-04-23,white fermented bean curd,china,kaiping guanghe fermented bean curd,bacillus cereus,"3 800, 1 400, 2 400, 830, 550",cfu/g,imported food control act section 32,surveillance,nan,
2020-04-23,margarine,indonesia,pt unilever indonesia tbk,vitamin b1 b2 niacin,Not permitted in this food,,fsc 132,surveillance,nan,
2020-04-24,dried anchovies,myanmar,evershine trading,histamine,410,mg/kg,his 122016,risk,nan,
2020-04-24,dried anchovies,myanmar,evershine trading,histamine,1300,mg/kg,his 122016,risk,nan,
2020-04-24,dried anchovies,myanmar,evershine trading,histamine,970,mg/kg,his 122016,risk,nan,
